aluguel,condominio,iptu,descricao,endereco,area,qtd_quartos,qtd_vagas,qtd_banheiros
R$ 2.009,,,JÁ ESTAMOS RESERVANDO ENTREGA AGORA EM JUNHO garanta sua unidade Aptos novos 1º locação a partir de 2.009 no 1º e 2º andares já incluso condomínio e iptu e Agua 9 9721=1385 whats...," Rua José Vilar, Dionísio Torres
", 65 ,2,1.0,2.0
R$ 550,R$ 290,,"Apartamento com 47 m², com 02 quartos, 01 banheiro. Condomínio com portaria 24 horas, cerca elétrica, câmeras de segurança, salão de festas com churrasqueira, parquinho infantil e..."," Rua Florêncio Fontenele, Messejana
", 47 ,2,1.0,1.0
R$ 750,,R$ 198,"Excelente apartamento com 01 quarto, cozinha americana, wc social, piso cerâmica, ótima ventilação, condomínio bastante agradável e com excelente localização, SEM TAXA DE CONDOMÍNI..."," Joaquim Tavora, Fortaleza
", 37 ,1,,1.0
R$ 1.300,,,O apartamento está localizado no bairro Planalto com 68 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros," Rua José Alberto Pereira Pimentel, Planalto
", 68 ,3,1.0,2.0
R$ 2.200,R$ 600,R$ 75,"O apartamento no bairro Centro possui 62 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área verde de jardim, área de recreação infantil.Elevador que garante o t..."," Avenida Dom Manuel, Centro
", 62 ,2,1.0,2.0
R$ 750,R$ 250,,"Residencial Ametista Apartamento a 3 minutos do centro de Caucaia, localizado na rotatória da Estruturante( CE 085) e Estrada Velha do Icaraí (Rua Joaci Sampaio Pontes).Com todos..."," Rua Maria Carneiro Silva, Curicaca
", 52 ,2,1.0,2.0
R$ 1.100,R$ 250,R$ 62,O apartamento está localizado no bairro Presidente Kennedy possui 70 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Vai lhe possibilitar todo o conforto do ar condicion...," Rua Tenente Marques, Presidente Kennedy
", 70 ,3,1.0,2.0
R$ 1.700,R$ 678,R$ 80,"*Locação para residencia fixa Apartamento de 70 m², com 02 quartos sendo 01 suíte, banheiro social, sala em L, varanda, cozinha americana e área de serviço. 01 vaga de garagem. -..."," Rua Barbosa de Freitas, Meireles
", 70 ,2,1.0,2.0
R$ 1.000,R$ 254,R$ 450,"Apartamento no térreo, dispõe de 55m², sala, cozinha, área de serviço, 2 quartos, 1 banheiro social, garden e 1 vaga na garagem. Localizado próximo ao Analí Supermercados, Escola M..."," Rua Coronel Correia, Centro
", 55 ,2,1.0,1.0
R$ 1.100,R$ 300,,"CONDOMINIO COM PISCINA ADULTO E INFANTIL, FITNESS, SALÃO DE FESTA COM COPA E WCS, DECK COM CHURRASQUEIRA, CAMPO FUTBOL GRAMADO, PLAYGROUND, PRAÇA. APTO COM 57 M2, 1 SUITE + 2 QUART..."," Rua Coronel João de Oliveira, Messejana
", 57 ,3,1.0,2.0
R$ 3.000,,,"O imóvel é 100% mobiliado possui 63m², sala de estar integrada com a cozinha, 2 quartos climatizados, sendo uma suíte, uma excelente varanda com vista mar e 1 vaga de garagem. OB..."," Rua das Saúnas, Cumbuco
", 63 ,2,1.0,2.0
