aluguel,condominio,iptu,descricao,endereco,bairro,area,qtd_quartos,qtd_vagas,qtd_banheiros
2009,254,190,JÁ ESTAMOS RESERVANDO ENTREGA AGORA EM JUNHO garanta sua unidade Aptos novos 1º locação a partir de 2.009 no 1º e 2º andares já incluso condomínio e iptu e Agua 9 9721=1385 whats...," Rua José Vilar, Dionísio Torres
",Dionísio Torres,65,2,1,2
550,290,200,"Apartamento com 47 m², com 02 quartos, 01 banheiro. Condomínio com portaria 24 horas, cerca elétrica, câmeras de segurança, salão de festas com churrasqueira, parquinho infantil e..."," Rua Florêncio Fontenele, Messejana
",Messejana,47,2,1,1
750,250,198,"Excelente apartamento com 01 quarto, cozinha americana, wc social, piso cerâmica, ótima ventilação, condomínio bastante agradável e com excelente localização, SEM TAXA DE CONDOMÍNI..."," Joaquim Tavora, Fortaleza
",Cambeba,37,1,2,1
1300,254,900,O apartamento está localizado no bairro Planalto com 68 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros," Rua José Alberto Pereira Pimentel, Planalto
",Planalto,68,3,1,2
2200,600,75,"O apartamento no bairro Centro possui 62 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área verde de jardim, área de recreação infantil.Elevador que garante o t..."," Avenida Dom Manuel, Centro
",Centro,62,2,1,2
750,250,75,"Residencial Ametista Apartamento a 3 minutos do centro de Caucaia, localizado na rotatória da Estruturante( CE 085) e Estrada Velha do Icaraí (Rua Joaci Sampaio Pontes).Com todos..."," Rua Maria Carneiro Silva, Curicaca
",Curicaca,52,2,1,2
1100,250,62,O apartamento está localizado no bairro Presidente Kennedy possui 70 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Vai lhe possibilitar todo o conforto do ar condicion...," Rua Tenente Marques, Presidente Kennedy
",Presidente Kennedy,70,3,1,2
1700,678,80,"*Locação para residencia fixa Apartamento de 70 m², com 02 quartos sendo 01 suíte, banheiro social, sala em L, varanda, cozinha americana e área de serviço. 01 vaga de garagem. -..."," Rua Barbosa de Freitas, Meireles
",Meireles,70,2,1,2
1000,254,450,"Apartamento no térreo, dispõe de 55m², sala, cozinha, área de serviço, 2 quartos, 1 banheiro social, garden e 1 vaga na garagem. Localizado próximo ao Analí Supermercados, Escola M..."," Rua Coronel Correia, Centro
",Centro,55,2,1,1
1100,300,75,"CONDOMINIO COM PISCINA ADULTO E INFANTIL, FITNESS, SALÃO DE FESTA COM COPA E WCS, DECK COM CHURRASQUEIRA, CAMPO FUTBOL GRAMADO, PLAYGROUND, PRAÇA. APTO COM 57 M2, 1 SUITE + 2 QUART..."," Rua Coronel João de Oliveira, Messejana
",Messejana,57,3,1,2
3000,254,75,"O imóvel é 100% mobiliado possui 63m², sala de estar integrada com a cozinha, 2 quartos climatizados, sendo uma suíte, uma excelente varanda com vista mar e 1 vaga de garagem. OB..."," Rua das Saúnas, Cumbuco
",Cumbuco,63,2,1,2
1600,471,609,"Localizado na Av. Sargento Hermínio Sampaio, próximo ao supermercado Frangolândia, academia Top Up Fitness, Polo de Lazer Sargento Hermínio, com fácil acesso ao Shopping RioMar Ken..."," Avenida Sargento Hermínio Sampaio, Monte Castelo
",Monte Castelo,64,3,2,2
1200,300,290,"Apartamento dispõe de 70,99m², sala ampla, varanda, cozinha com armário, 3 quartos sendo 1 suíte, banheiro social, área de serviço e 1 vaga de garagem. Localizado na Avenida Sargen..."," Avenida Sargento Hermínio Sampaio, Monte Castelo
",Monte Castelo,71,3,1,2
1700,429,96,"""Uma localização privilegiada, juntamente com segurança e bastante conforto"", assim definimos o lugar ideal para viver com sua família uma vida tranquila e cheia de momentos inesqu..."," Rua Afrânio Peixoto, Parangaba
",Parangaba,62,3,2,2
1300,360,75,"Apartamento no centro de Fortaleza com 03, sendo 01 suíte, wc social, sala de estar/jantar, cozinha, 3° andar de escada e 02 vaga de garagem. Próximo ao Dnocs, Mercado São Sebastiã..."," Rua Agapito dos Santos, Centro
",Centro,77,3,2,2
1100,600,75,"Amplo apto, nascente, Tauape, esq. com Mons. Salazar, 3 quartos (1 suíte), DCE,"," Rua Álvaro Bomilcar, Tauape
",Tauape,120,3,2,3
2500,650,100,"Excelente apartamento para aluguel no bairro Parquelândia, Fortaleza. Com uma área privativa de 85m², este apartamento possui 3 quartos, sendo 2 suítes, além de um banheiro social..."," Rua Padre Guerra, Parquelândia
",Parquelândia,85,3,2,3
2500,379,98,"Apartamento NOVO, para locação, No Parque Del Sol, Cambeba O apartamento é novo e extremamente confortável. Nunca teve morador! Não perca essa oportunidade de morar em um dos melho..."," Rua Fernando Santos, Parque Iracema
",Parque Iracema,53,2,1,2
1500,520,68,"Agora você pode morar neste maravilhoso apartamento, a poucos minutos do Assaí Atacadista - sala - cozinha - banheiro - 04 quartos sendo 02 suítes - área de serviço - vaga de g..."," Rua Justiniano de Serpa, Benfica
",Benfica,93,3,2,3
2600,710,100,"O bairro Joaquim Távora se caracteriza por ser majoritariamente residencial e ser um bairro autossuficiente, onde você encontra tudo nas grandes avenidas que ficam bem próximo ao s..."," Rua Doutor José Lourenço, Joaquim Tavora
",Joaquim Tavora,70,2,2,2
900,150,75,"Apartamento no terceiro andar dispõe de 46 m², sala ampla, cozinha, 2 quartos sendo 1 com varanda, banheiro social e 1 vaga de garagem sujeito a disponibilidade. Localizado na Aven..."," Avenida Jovita Feitosa, Parquelândia
",Parquelândia,46,2,1,1
