condominio,iptu,area,qtd_quartos,qtd_vagas,qtd_banheiros,aluguel
254,190,65,2,1,2,2009
290,200,47,2,1,1,1550
250,198,37,1,2,1,1750
254,900,68,3,1,2,1300
600,120,62,2,1,2,2200
250,120,52,2,1,2,750
250,120,70,3,1,2,1100
678,120,70,2,1,2,1700
254,450,55,2,1,1,1000
300,120,57,3,1,2,1100
254,120,63,2,1,2,3000
471,609,64,3,2,2,1600
300,290,71,3,1,2,1200
429,120,62,3,2,2,1700
360,120,77,3,2,2,1300
600,120,120,3,2,3,1100
650,100,85,3,2,3,2500
379,120,53,2,1,2,2500
520,120,93,3,2,3,1500
710,100,70,2,2,2,2600
150,120,46,2,1,1,900
434,120,55,3,1,2,1400
434,120,74,2,2,1,4900
434,120,40,2,1,1,1409
471,120,65,2,2,2,2000
490,400,50,2,1,2,1709
267,120,62,2,1,2,800
490,400,91,3,3,2,2600
320,120,54,3,2,2,1400
550,400,82,2,1,1,1550
480,400,37,1,1,1,2400
353,120,65,2,2,2,2209
790,927,74,2,1,2,2500
491,400,32,3,1,2,1280
200,400,62,3,1,1,1600
250,100,50,2,1,1,750
548,400,61,2,1,2,2000
360,600,62,3,1,2,1100
600,400,72,2,1,2,2600
250,285,50,2,1,1,1300
547,440,106,3,2,3,3300
100,400,50,2,2,1,1200
333,400,50,2,1,2,905
842,120,72,2,2,2,2500
610,400,64,3,1,3,1100
300,400,65,2,1,2,2009
510,400,115,3,1,3,1750
530,120,70,3,1,3,900
150,293,57,2,1,2,1300
1186,1448,112,3,2,3,3500
669,120,70,3,1,2,2300
255,400,48,2,1,1,900
630,1135,94,3,2,3,1700
1000,120,130,3,2,3,3500
180,365,120,3,1,2,900
1079,2156,141,4,3,3,3950
355,300,50,2,1,1,1700
400,300,56,2,1,2,750
600,137,80,3,2,3,2600
490,300,72,3,2,2,2800
639,177,68,3,2,2,2700
608,300,59,2,2,3,2400
670,2319,80,3,2,3,2500
455,300,57,2,2,2,2100
580,300,66,3,2,2,1700
200,100,50,2,1,1,1250
600,120,65,2,2,2,1514
650,900,63,1,1,2,1800
650,900,81,2,1,3,1000
475,443,59,2,1,2,1200
364,469,48,2,2,2,1200
811,900,107,3,2,3,1800
250,900,50,3,1,2,750
565,127,87,3,2,2,2800
350,220,70,2,2,2,3200
690,829,65,3,1,2,1800
300,900,75,3,1,2,1200
320,900,48,2,1,1,850
994,120,70,3,2,3,2395
500,900,160,3,2,3,850
600,321,56,2,1,2,1300
580,900,65,3,1,2,1020
